origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Sauce,Sauce,,0.0000000,,
Sauce,Santo Tome,,0.0000000,,
Sauce,San Roque,,0.0000000,,
Sauce,Departamento San Miguel,,0.0000000,,
Sauce,La Cruz,,0.0000000,,
Sauce,San Luis del Palmar,,0.0000000,,
Sauce,San Cosme,,0.0000000,,
Sauce,Saladas,,0.0000000,,
Sauce,Paso de los Libres,,0.0000000,,
Sauce,Monte Caseros,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Mercedes,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,MburucuyÃ¡,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Santa Lucia,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Ituzaingo,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Itati,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Goya,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Nuestra Senora del Rosario de Caa Cati,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Alvear,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Esquina,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Empedrado,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Curuzu Cuatia,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Concepcion,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Corrientes,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,San Antonio de itati,0.0868171,5.0619763,0.0531962,5.2019896
Sauce,Bella Vista,0.0868171,5.0619763,0.0531962,5.2019896
Santo Tome,Sauce,0.0868171,5.0619763,0.0531962,5.2019896
Santo Tome,Santo Tome,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,San Roque,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Departamento San Miguel,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,La Cruz,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,San Luis del Palmar,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,San Cosme,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Saladas,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Paso de los Libres,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Monte Caseros,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Mercedes,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,MburucuyÃ¡,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Santa Lucia,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Ituzaingo,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Itati,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Goya,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Nuestra Senora del Rosario de Caa Cati,0.0868171,0.0000000,0.0531962,5.2019896
Santo Tome,Alvear,0.0868171,0.0000000,0.0531962,5.2019896
