muncod,year,s_uribe_02,s_uribe_06,hom_r,manu_sample
5001,1995,.72023332,.73710823,198.915319213258,1
5002,1995,.58230013,.84987849,84.52111106842368,1
5004,1995,.5225718,.79554939,80.1924619085806,
5021,1995,.49834985,.85657895,72.25433526011561,
5030,1995,.49469784,.65047973,75.24454477050413,1
5031,1995,.51927811,.77354819,71.52344947379177,
5034,1995,.68751723,.84798783,80.15831266751835,1
5036,1995,.51683819,.19875777,46.84572142410993,
5038,1995,.52920079,.29064038,54.58515283842794,
5040,1995,.30124778,.59682804,84.17508417508417,
5042,1995,.41072458,.64389092,45.32269760696157,1
5044,1995,.28006873,.84237289,76.05526682722778,
5045,1995,.46145979,.48115155,283.5997263511413,1
5051,1995,.34854385,.53651863,51.50877795424304,1
5055,1995,.43664539,.80417955,72.18479307025986,
5059,1995,.51289237,.23159784,43.89815627743635,
5079,1995,.5911656,.60487843,242.1790415408286,1
5086,1995,.65563333,.66629213,73.52941176470588,
5088,1995,.036216799,.67394882,145.9167945629562,1
5091,1995,.53254694,.26666668,59.35221298965575,
5093,1995,.59764564,.86840689,72.16308858019123,
5101,1995,.57460463,.30660981,81.63542977652301,1
5107,1995,.30911681,.65246451,30.55300947143294,
5113,1995,.39253113,.61403507,50.12531328320802,
5120,1995,.27508995,.45394146,85.82527780287289,1
5125,1995,.36497426,.22350994,94.37778077389781,
5129,1995,.6079675,.61244965,170.2669235002752,1
5134,1995,.62178516,.71285141,63.61323155216285,
5138,1995,.41654778,.82951069,86.65511265164645,
5142,1995,.53551227,.6704374,29.59017606154757,
5145,1995,.50052357,.76695496,100.0375140677754,
5147,1995,.43752319,.46468484,293.4947049924357,1
5148,1995,.61708432,.64964199,76.75775253300583,1
5150,1995,.50430417,.63432384,66.44518272425249,
5154,1995,.32840055,.65671372,73.85391335675043,1
5172,1995,.4961386,.55306637,466.1549802697194,1
5190,1995,.44985163,.60400569,88.23529411764706,
5197,1995,.46360153,.45500001,75.87930726655955,
5206,1995,.44209808,.869165,47.93863854266539,
5209,1995,.2326923,.86505389,84.05127127547804,1
5212,1995,.62984288,.52558571,161.7444437788295,1
5234,1995,.29935965,.58735073,105.2975563705022,1
5237,1995,.85876697,.84184867,57.91226292167366,
5240,1995,.6104272,.71356249,77.77561734396267,
5250,1995,.38929579,.58707994,76.73323793525374,1
5264,1995,.3519564,.19754253,67.82419967444385,
5266,1995,.77085871,.22396933,112.303855507536,1
5282,1995,.57943785,.66784281,80.72739632902788,1
5284,1995,.37813574,.6029703,73.52372107422026,1
5306,1995,.18373367,.68319327,62.27942702927133,
5308,1995,.63215768,.46221858,131.2294953913451,1
5310,1995,.5,.72467184,72.87870900572618,
5313,1995,.28619719,.84769231,99.97778271495224,
5315,1995,.28586388,.54394078,77.66387076731904,
5318,1995,.70089775,.71350038,82.9985724245543,1
5321,1995,.67718571,.87413156,44.86987735566856,
5347,1995,.62443948,.74003106,63.89776357827476,
5353,1995,.52615935,.75299042,84.44162972345366,
5360,1995,.69573194,.66832262,210.0375312965759,1
5361,1995,.185251,.55449694,69.72333779562695,1
5364,1995,.7608878,.29229757,95.81603321622484,
5368,1995,.69608051,.83263201,58.32944470368642,
5376,1995,.680237,.75388235,82.80015054572827,1
5380,1995,.60391879,.63699079,294.3698861924298,1
5390,1995,.45253012,.28547856,0,
5400,1995,.58528978,.73629653,87.6372984342136,
5411,1995,.56180531,.8021872,46.97482149567831,
5425,1995,.55599999,.81565863,79.41009642654566,
5440,1995,.7315169,.71924525,66.26905235255136,1
5467,1995,.26577103,.72533447,61.86204763377668,
5475,1995,,.42160279,0,
5480,1995,.55410689,.65583378,252.7379949452401,
5483,1995,.7640056,.87672055,90.56213209133837,
5490,1995,.42936116,.71181184,103.1695993580558,1
5495,1995,.33581394,.58333331,65.59835067004029,
5501,1995,.53474677,.74470234,35.29827038475115,
5541,1995,.61347049,.84738225,72.63922518159806,
5543,1995,.042659976,.44084084,97.81545484186501,
5576,1995,.5896284,.83273309,0,
5579,1995,.52558839,.58203912,70.77741917218731,1
5585,1995,.38208693,.50012153,44.30333013364838,
5591,1995,.66471934,.78897947,43.54262823304015,
5604,1995,.56231493,.70453972,76.17803895962564,
5607,1995,.71022278,.75055611,84.88964346349745,
5615,1995,.72996634,.67946744,70.97415250409715,1
5628,1995,.32710281,.15802172,68.83101984627739,
5631,1995,.73353446,.71064138,399.845221204695,1
5642,1995,.79657853,.53420669,73.5332738063974,
5647,1995,.37625289,.68881857,82.85862247540135,
5649,1995,.60772359,.81004655,76.00709399543958,
5652,1995,.01058201,.83033419,67.79661016949153,
5656,1995,.54684836,.73202449,72.95276308590188,
5658,1995,.60000002,.84096199,58.0046403712297,
5659,1995,.19725275,.47047406,0,
5660,1995,.35245901,.87967759,71.50286011440457,
5664,1995,.77500796,.77377963,85.24240809802876,
5665,1995,.59215456,.8279382,121.2467013765067,1
5667,1995,.51634473,.8069666,60.77487971638389,
5670,1995,.61193138,.79898036,87.61682242990653,
5674,1995,.73038262,.86100847,54.91720175735046,1
5679,1995,.42514253,.73634928,72.04385277995301,1
5686,1995,.72559285,.88104731,75.13148009015778,1
5690,1995,.49176893,.22076707,66.8896321070234,
5697,1995,.75758535,.85823214,74.94914165387772,1
5736,1995,.57627755,.62213618,80.49849438001252,1
5756,1995,.60430688,.85620123,73.02434905638849,1
5761,1995,.47893175,.62684005,71.69029791301577,
5789,1995,.61028081,.79287529,76.52782333005356,
5790,1995,.4198519,.28193745,62.23291706426586,1
5792,1995,.46061555,.55568314,153.288740245262,
5809,1995,.50363636,.72881889,75.25083612040133,
5819,1995,.15406163,.68063873,65.58093780741065,
5837,1995,.31179014,.45224783,312.475511323564,1
5842,1995,.24981132,.59561753,101.3513513513514,
5847,1995,.54186374,.82570386,65.10946528851632,1
5854,1995,.37142858,.49403343,71.36626754420743,
5856,1995,.55461395,.67278135,75.34172855451513,
5858,1995,.43465045,.35064936,71.79219423051821,
5861,1995,.54281384,.7546798,58.57372968223752,
5873,1995,.18877551,.62847221,50.98399102681758,
5885,1995,.54872882,.71127719,78.32606019917199,
5887,1995,.64758825,.72327727,86.76668159426781,1
5890,1995,.49195951,.77263874,76.56967840735069,
5893,1995,.43578321,.45211121,80.07829878103034,
5895,1995,.27275103,.42633471,67.56249530816005,1
8001,1995,.42365754,.44004047,32.0396475106259,1
8078,1995,.34597865,.31815898,47.12641098718611,1
8137,1995,.33070087,.68310004,15.49006699453975,1
8141,1995,.29467162,.51248437,61.08735491753207,
8296,1995,.38162678,.36250433,49.11323328785812,
8372,1995,.41975307,.4066194,38.14755474174105,
8421,1995,.21356291,.51781023,30.61179866182709,
8433,1995,.28417489,.40378156,33.94817245671608,1
8436,1995,.36952141,.65414506,15.65312671206074,
8520,1995,.24595582,.34884125,39.72282296861897,1
8549,1995,.50330454,.50227791,71.34703196347031,
8558,1995,.34615386,.26453099,0,
8560,1995,.25030699,.55567664,51.78663904712584,
8573,1995,.27818954,.31434807,25.37346569824606,1
8606,1995,.14961949,.36573258,48.19910612566822,
8634,1995,.29167214,.38406828,21.5157872088645,
8638,1995,.36691502,.37685573,5.190154277335894,1
8675,1995,.18684313,.61257064,0,
8685,1995,.24997181,.34753364,25.62569402921329,1
8758,1995,.31829646,.37296936,29.8040384472096,1
8770,1995,.1769204,.50895798,0,
8832,1995,.29594791,.32194105,36.83580440187863,
8849,1995,.27129337,.38617402,24.64268112370626,
11001,1995,.56702274,.63412213,59.61247138689428,1
13001,1995,.42100438,.54136062,27.5454916998387,1
13006,1995,.22681487,.87262356,30.30813268226974,1
13030,1995,.21944036,.71983355,0,
13042,1995,.00074766355,.67402136,0,
13052,1995,,.56141049,5.751864562762429,1
13062,1995,.29504666,.83333331,0,
13074,1995,.49418604,.73024237,0,
13140,1995,.40933621,.72054738,19.94256541161455,1
13160,1995,.40232974,.66806901,0,
13188,1995,.33425927,.72967792,0,
13212,1995,.10340479,.59374255,0,
13222,1995,.12837601,.52654481,0,
13244,1995,.23059824,.77705628,47.77323637135729,1
13248,1995,.59711432,.78531748,11.07665042091272,
13268,1995,.28006589,.72436816,0,
13300,1995,.50307035,.75423729,0,
13430,1995,.39632338,.49490803,12.2705032440143,1
13433,1995,.30639979,.74753201,17.51390165944218,1
13440,1995,.31518504,.61745548,0,
13442,1995,.10815378,.62869298,2.051071684955389,1
13458,1995,.41275167,.4476386,0,
13468,1995,.38189474,.64784086,6.418485237483954,1
13473,1995,.5939759,.77840161,0,1
13490,1995,,,0,
13549,1995,.34758455,.8119598,0,1
13580,1995,.68257058,.69178081,0,
13600,1995,.38231468,.63327122,0,1
13620,1995,.10799632,.39238265,0,
13647,1995,.26494464,.70757127,0,
13650,1995,.34694991,.72398412,0,
13654,1995,.2214575,.65316701,7.564582624153712,1
13655,1995,.79797977,.53187251,0,
13657,1995,.36142701,.76544911,23.03793580095223,1
13667,1995,.53056669,.66015494,3.311477581296774,
13670,1995,.6303007,.60607338,0,1
13673,1995,.18767734,.32597753,20.6996481059822,1
13683,1995,.22591588,.41384035,25.38500592316805,
13688,1995,.61257738,.67387426,0,1
13744,1995,.70415443,.58693397,0,
13760,1995,.13718539,.2378768,7.320644216691068,
13780,1995,.21214393,.64525694,0,
13810,1995,.19978745,.80180997,0,
13836,1995,.43098119,.51272887,14.15943524081154,1
13838,1995,.36444783,.52850926,66.47831145088915,
13873,1995,.11004385,.47606954,33.89370932754881,
13894,1995,.14932127,.60687596,51.15525620257482,
15001,1995,.42569169,.48599559,16.74687538561884,1
15022,1995,.60129869,.76590633,67.55235307363208,
15047,1995,.74206138,.89195371,5.02108857200241,
15051,1995,.54700857,.57355767,39.19263178522438,
15087,1995,.34149659,.6201117,13.84562132225684,
15090,1995,.23774955,.7096774,0,
15092,1995,.20619786,.47079438,32.38341968911917,
15097,1995,.66142088,.82876712,6.397543343356151,
15104,1995,.17252748,.54584092,0,
15106,1995,.65010142,.83539486,96.18467457518436,
15109,1995,.44616026,.56387866,51.05513955071477,
15114,1995,.55754477,.61712849,0,
15131,1995,.3688156,.50741655,87.55034144633164,
15135,1995,.41326532,.85575485,21.92021043402017,
15162,1995,.4423418,.60108697,0,
15172,1995,.72445387,.83574575,51.92107995846313,
15176,1995,.62801707,.65355259,59.29188548195833,1
15180,1995,.05864929,.91079813,70.27406886858749,
15183,1995,.5424571,.92172092,0,
15185,1995,.49384615,.63086551,12.40079365079365,
15187,1995,.3562341,.43937007,0,
15189,1995,.65470362,.82043344,0,
15204,1995,.30161011,.43578103,8.67227473766369,
